charity_name,money_collected,goal,campaign_title,url,latitude,longitude,address
The Gazze Destek Association (GDD),23717,30000,Support Jenin: Urgent relief aid needed - Your Aid is Their Beat,https://globalsadaqah.com/campaigns/gdd-help-jenin,41.016234499999996,28.943710999999997,"Akşemsettin Mah. Akdeniz Cad, Akşemsettin, Hakperest Sk. No:16 D:8, 34080 Fatih/İstanbul, Türkiye"
Al Muhsin Foundation,5901,180000,Gift underprivileged children their very own Quran,https://globalsadaqah.com/campaigns/1-child-1-quran,,,
DCB,4757,72000,Phase 2 of Rohingya Quran Project: Translate to Rohingya Text,https://globalsadaqah.com/campaigns/rt-quran-2,3.0437868,101.5684902,"10, Jalan Tiara 3, Taman Perindustrian Uep, 47600 Subang Jaya, Selangor, Malaysia"
PERTIS Malaysia,22493,47000,Help The Visually Impaired Read Quran,https://globalsadaqah.com/campaigns/pertis-braille-quran,3.2120949999999997,101.7123532,"32-A, 21D, Jalan Jernai 6, Medan Idaman Business Centre, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
DCB,25419,24997,"Place a Quran in Masjid al-Haram, Makkah | Phase 7",https://globalsadaqah.com/campaigns/dcb-quran-7,3.0437868,101.5684902,"10, Jalan Tiara 3, Taman Perindustrian Uep, 47600 Subang Jaya, Selangor, Malaysia"
DCB,34951,40000,Waqaf A Quran In Masjid al-Haram In Makkah | Phase6,https://globalsadaqah.com/campaigns/dcb-quran-6,3.0437868,101.5684902,"10, Jalan Tiara 3, Taman Perindustrian Uep, 47600 Subang Jaya, Selangor, Malaysia"
Aswadan,5662,45000,Do your Qurbani in the Holy Land of Makkah,https://globalsadaqah.com/campaigns/aswadan-q24,3.1322221999999997,101.6894769,"Wilayah Pesekutuan, Wisma Harapan, 522, Jln Sultan Abdul Samad, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
DCB,53048,70000,Waqaf A Quran In Masjid al-Haram In Makkah | Phase5,https://globalsadaqah.com/campaigns/dcb-quran-5,3.0437868,101.5684902,"10, Jalan Tiara 3, Taman Perindustrian Uep, 47600 Subang Jaya, Selangor, Malaysia"
Aswadan,6211,30000,MYR 500/sheep: Qurbani in Makkah,https://globalsadaqah.com/campaigns/aswadan-q23,3.1322221999999997,101.6894769,"Wilayah Pesekutuan, Wisma Harapan, 522, Jln Sultan Abdul Samad, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
PEKAYATIM,4842,10000,PROJEK RESMI BUDI - Phase 1: Planting the Seeds of Quran and Character (PEKAYATIM),https://globalsadaqah.com/campaigns/PEKAYATIMxGS-Projek-Resmi-Budi-1,6.1153588999999995,102.28129799999999,"PT 519, Jalan Guchil Bayam, Desa Rahmat, 15200 Kota Bharu, Kelantan, Malaysia"
PEKAYATIM,2532,50000,"A Place To Belong : Rebuilding hope, Restoring Dignity For Every Orphaned Child (Phase 1)",https://globalsadaqah.com/campaigns/a-place-to-belong,6.1153588999999995,102.28129799999999,"PT 519, Jalan Guchil Bayam, Desa Rahmat, 15200 Kota Bharu, Kelantan, Malaysia"
Al-Iltizam Relief Society,20809,20000,Gaza's Emergency Kitchen: Delivering Life-Saving Meals in North Gaza,https://globalsadaqah.com/campaigns/Gaza-Emergency-Kitchen,3.1026822999999997,101.5276705,"Suite 11-01, First Floor D'Bayu Complex, Jalan Serambi U8/24, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia"
Malaysian Relief Agency (MRA),235,150000,MRA Emergency Flood Relief Response,https://globalsadaqah.com/campaigns/mra-emergency-flood-relief-response,3.1001998,101.71504209999999,"Jalan Danau Lumayan, Bandar Tun Razak, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
Rumah Zakat,242,250000,Indonesia Needs You Now: Urgent Disaster Relief,https://globalsadaqah.com/campaigns/indonesia-needs-you-now-urgent-disaster-relief,3.1224854,101.6754012,"Jalan Bangsar, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
Cinta Syria Malaysia,7855,30000,Hot Meals for Palestine: Nourishment Amidst the Rubble,https://globalsadaqah.com/campaigns/Meals-4-Palestine-CSM,2.9607813,101.7561973,"8-19-2, Jln Medan Pusat Bandar 7A, Seksyen 9, 43650 Bandar Baru Bangi, Selangor, Malaysia"
Rumah Zakat,760,10000,"Prosthetic Legs for Raya and Zemi: Restoring Their Smiles, Steps, and Hopes",https://globalsadaqah.com/campaigns/prosthetic-legs-for-raya-and-zemi-restoring-their-smiles-steps-and-hopes,3.1224854,101.6754012,"Jalan Bangsar, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
Rumah Zakat,484,15000,"An Empty Stomach, A Silent Prayer: Give Them a Nourishing Iftar",https://globalsadaqah.com/campaigns/an-empty-stomach-a-silent-prayer-give-them-a-nourishing-iftar,3.1224854,101.6754012,"Jalan Bangsar, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
Rumah Zakat,187,50000,Prevent Stunting: Nurture a Strong and Smart Generation,https://globalsadaqah.com/campaigns/prevent-stunting-nurture-a-strong-and-smart-generation,3.1224854,101.6754012,"Jalan Bangsar, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
Rumah Zakat,1522,15000,A Love They Never Had: Give Orphans a Joyous Eid,https://globalsadaqah.com/campaigns/a-love-they-never-had-give-orphans-a-joyous-eid,2.9762622999999997,101.5127716,"LOT 3657 JALAN TANJUNG BIDARA 30, 131, Jln Kebun Tambahan, Seksyen 30, 40460 Shah Alam, Selangor, Malaysia"
,2684,4950,Support a Young Revert's Journey to School.,https://globalsadaqah.com/campaigns/support-a-young-revert-s-journey-to-school,,,
